cod_provincia,provincia,anio,erogacion_tipo,erogaciones,total_pesos
14,Córdoba,2009,Corrientes,Transferencias a la educación privada,903208776
14,Córdoba,2009,Corrientes,Otras transferencias,42169500
14,Córdoba,2009,De capital,De capital,116620747
14,Córdoba,2010,Total,Total,4856689552
14,Córdoba,2010,Corrientes,Personal,3443916746
14,Córdoba,2010,Corrientes,Bienes y servicios no personales,139521989
14,Córdoba,2010,Corrientes,Transferencias a la educación privada,1105800711
14,Córdoba,2010,Corrientes,Otras transferencias,13594858
14,Córdoba,2010,De capital,De capital,153855249
14,Córdoba,2011,Total,Total,6575122932
14,Córdoba,2011,Corrientes,Personal,4650211731
14,Córdoba,2011,Corrientes,Bienes y servicios no personales,169161608
14,Córdoba,2011,Corrientes,Transferencias a la educación privada,1488513201
14,Córdoba,2011,Corrientes,Otras transferencias,15005162
14,Córdoba,2011,De capital,De capital,252231230
18,Corrientes,2003,Total,Total,260029597
18,Corrientes,2003,Corrientes,Personal,219804261
18,Corrientes,2003,Corrientes,Bienes y servicios no personales,4365974
18,Corrientes,2003,Corrientes,Transferencias a la educación privada,30768534
18,Corrientes,2003,Corrientes,Otras transferencias,3216000
18,Corrientes,2003,De capital,De capital,1874828
18,Corrientes,2004,Total,Total,319866735
18,Corrientes,2004,Corrientes,Personal,259055491
18,Corrientes,2004,Corrientes,Bienes y servicios no personales,7073688
18,Corrientes,2004,Corrientes,Transferencias a la educación privada,34795477
18,Corrientes,2004,Corrientes,Otras transferencias,3804200
18,Corrientes,2004,De capital,De capital,15137878
18,Corrientes,2005,Total,Total,503456009
18,Corrientes,2005,Corrientes,Personal,347653191
18,Corrientes,2005,Corrientes,Bienes y servicios no personales,21462958
18,Corrientes,2005,Corrientes,Transferencias a la educación privada,46778860
18,Corrientes,2005,Corrientes,Otras transferencias,10397706
18,Corrientes,2005,De capital,De capital,77163294
18,Corrientes,2006,Total,Total,570903359
18,Corrientes,2006,Corrientes,Personal,428546454
18,Corrientes,2006,Corrientes,Bienes y servicios no personales,21151446
18,Corrientes,2006,Corrientes,Transferencias a la educación privada,58352993
18,Corrientes,2006,Corrientes,Otras transferencias,18269446
18,Corrientes,2006,De capital,De capital,44583020
18,Corrientes,2007,Total,Total,756876265
18,Corrientes,2007,Corrientes,Personal,597627478
18,Corrientes,2007,Corrientes,Bienes y servicios no personales,40928525
18,Corrientes,2007,Corrientes,Transferencias a la educación privada,80053373
18,Corrientes,2007,Corrientes,Otras transferencias,16232089
18,Corrientes,2007,De capital,De capital,22034799
18,Corrientes,2008,Total,Total,1069893401
18,Corrientes,2008,Corrientes,Personal,834890632
18,Corrientes,2008,Corrientes,Bienes y servicios no personales,81809037
18,Corrientes,2008,Corrientes,Transferencias a la educación privada,105383879
18,Corrientes,2008,Corrientes,Otras transferencias,28080171
18,Corrientes,2008,De capital,De capital,19729682
18,Corrientes,2009,Total,Total,1216330391
18,Corrientes,2009,Corrientes,Personal,992771673
18,Corrientes,2009,Corrientes,Bienes y servicios no personales,39852118
18,Corrientes,2009,Corrientes,Transferencias a la educación privada,122119267
18,Corrientes,2009,Corrientes,Otras transferencias,33106882
18,Corrientes,2009,De capital,De capital,28480452
18,Corrientes,2010,Total,Total,1493749134
18,Corrientes,2010,Corrientes,Personal,1261989019
18,Corrientes,2010,Corrientes,Bienes y servicios no personales,35498767
18,Corrientes,2010,Corrientes,Transferencias a la educación privada,150720179
18,Corrientes,2010,Corrientes,Otras transferencias,3792671
18,Corrientes,2010,De capital,De capital,41748498
18,Corrientes,2011,Total,Total,2349708879
18,Corrientes,2011,Corrientes,Personal,1888040853
18,Corrientes,2011,Corrientes,Bienes y servicios no personales,67529768
18,Corrientes,2011,Corrientes,Transferencias a la educación privada,224272255
18,Corrientes,2011,Corrientes,Otras transferencias,3505881
18,Corrientes,2011,De capital,De capital,166360123
30,Entre Ríos,2003,Total,Total,331433158
30,Entre Ríos,2003,Corrientes,Personal,271250632
30,Entre Ríos,2003,Corrientes,Bienes y servicios no personales,5585233
30,Entre Ríos,2003,Corrientes,Transferencias a la educación privada,50851358
30,Entre Ríos,2003,Corrientes,Otras transferencias,3688200
30,Entre Ríos,2003,De capital,De capital,57735
30,Entre Ríos,2004,Total,Total,464801651
30,Entre Ríos,2004,Corrientes,Personal,382387099
30,Entre Ríos,2004,Corrientes,Bienes y servicios no personales,10246178
30,Entre Ríos,2004,Corrientes,Transferencias a la educación privada,68615841
30,Entre Ríos,2004,Corrientes,Otras transferencias,3207997
30,Entre Ríos,2004,De capital,De capital,344537
30,Entre Ríos,2005,Total,Total,591209597
30,Entre Ríos,2005,Corrientes,Personal,485127468
30,Entre Ríos,2005,Corrientes,Bienes y servicios no personales,12426759
30,Entre Ríos,2005,Corrientes,Transferencias a la educación privada,86868860
30,Entre Ríos,2005,Corrientes,Otras transferencias,6169226
30,Entre Ríos,2005,De capital,De capital,617284
30,Entre Ríos,2006,Total,Total,768799914
30,Entre Ríos,2006,Corrientes,Personal,613569036
30,Entre Ríos,2006,Corrientes,Bienes y servicios no personales,12072918
30,Entre Ríos,2006,Corrientes,Transferencias a la educación privada,111634994
30,Entre Ríos,2006,Corrientes,Otras transferencias,8704526
30,Entre Ríos,2006,De capital,De capital,22818441
30,Entre Ríos,2007,Total,Total,1044873754
30,Entre Ríos,2007,Corrientes,Personal,834858274
30,Entre Ríos,2007,Corrientes,Bienes y servicios no personales,12974156
30,Entre Ríos,2007,Corrientes,Transferencias a la educación privada,159423967
30,Entre Ríos,2007,Corrientes,Otras transferencias,8205106
30,Entre Ríos,2007,De capital,De capital,29412251
30,Entre Ríos,2008,Total,Total,1473841674
30,Entre Ríos,2008,Corrientes,Personal,1151231099
30,Entre Ríos,2008,Corrientes,Bienes y servicios no personales,22466749
30,Entre Ríos,2008,Corrientes,Transferencias a la educación privada,223544678
30,Entre Ríos,2008,Corrientes,Otras transferencias,16405660
30,Entre Ríos,2008,De capital,De capital,60193488
30,Entre Ríos,2009,Total,Total,1804950098
30,Entre Ríos,2009,Corrientes,Personal,1368630744
30,Entre Ríos,2009,Corrientes,Bienes y servicios no personales,36370467
30,Entre Ríos,2009,Corrientes,Transferencias a la educación privada,267432379
30,Entre Ríos,2009,Corrientes,Otras transferencias,19825765
30,Entre Ríos,2009,De capital,De capital,112690743
30,Entre Ríos,2010,Total,Total,2275683683
30,Entre Ríos,2010,Corrientes,Personal,1669603139
30,Entre Ríos,2010,Corrientes,Bienes y servicios no personales,55945505
30,Entre Ríos,2010,Corrientes,Transferencias a la educación privada,359940698
30,Entre Ríos,2010,Corrientes,Otras transferencias,2856260
30,Entre Ríos,2010,De capital,De capital,187338082
30,Entre Ríos,2011,Total,Total,3171073884
30,Entre Ríos,2011,Corrientes,Personal,2378340481
30,Entre Ríos,2011,Corrientes,Bienes y servicios no personales,72850623
30,Entre Ríos,2011,Corrientes,Transferencias a la educación privada,478898566
30,Entre Ríos,2011,Corrientes,Otras transferencias,7820978
30,Entre Ríos,2011,De capital,De capital,233163236
34,Formosa,2003,Total,Total,169882661
34,Formosa,2003,Corrientes,Personal,157155624
34,Formosa,2003,Corrientes,Bienes y servicios no personales,2027560
34,Formosa,2003,Corrientes,Transferencias a la educación privada,5285847
34,Formosa,2003,Corrientes,Otras transferencias,3596650
34,Formosa,2003,De capital,De capital,1816981
34,Formosa,2004,Total,Total,195559804
